"sub","SelfRew1","SelfRew2","SelfRew3","OtherRew1","OtherRew2","OtherRew3","SelfEff1","SelfEff2","SelfEff3","SelfEff4","OtherEff1","OtherEff2","OtherEff3","OtherEff4","WorkSelf","WorkOther","trabajo_self","trabajo_other","trabajo_total","zeros_SELF","zeros_OTHER","zeros_TOTAL","trabajo_self_ajustado","trabajo_other_ajustado","trabajo_total_ajustado","tasa_fallo_self","tasa_fallo_other","tasa_fallo_total"
"8228",0.875,0.875,0.875,0.5,0.5,0.5,0.8333,0.8333,1,0.8333,0.8333,0.5,0,0.6667,0.875,0.5,87.5,50,68.75,0,0,0,87.5,50,68.75,0,0,0
"8251",1,1,1,0.875,0.75,1,1,1,1,1,1,0.8333,0.6667,1,1,0.875,100,87.5,93.75,0,0,0,100,87.5,93.75,33.33,57.14,44.44
"8352",0.8571,1,0.75,0.7143,0.8,1,0.75,1,1,0.75,0.75,0.75,1,0.8,0.875,0.8235,58.33,58.33,58.33,33.33,29.17,31.25,87.5,82.35,84.85,0,57.14,28.57
"8604",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83.33,95.83,89.58,16.67,4.17,10.42,100,100,100,5,17.39,11.63
"8704",0.875,1,1,0.625,0.875,0.8571,1,1,1,0.8333,1,0.8333,0.8333,0.4,0.9565,0.7826,91.67,75,83.33,4.17,4.17,4.17,95.65,78.26,86.96,4.55,5.56,5
"8925",1,0.875,1,0.625,0.5,0.5,1,1,1,0.8333,0.5,0.5,0.8333,0.3333,0.9583,0.5417,95.83,54.17,75,0,0,0,95.83,54.17,75,0,0,0
"8949",0.5,0.75,0.875,0.7143,0.75,0.75,0.5,0.6667,0.8333,0.8333,0.8,1,0.8333,0.3333,0.7083,0.7391,70.83,70.83,70.83,0,4.17,2.08,70.83,73.91,72.34,0,0,0
"8987",0.7143,1,1,0.625,1,1,1,0.8333,1,0.8333,0.6667,1,0.8333,1,0.913,0.875,87.5,87.5,87.5,4.17,0,2.08,91.3,87.5,89.36,0,0,0
"9045",0.125,1,1,0.1429,0.625,1,0.6667,0.6667,0.6667,0.8333,0.5,0.8333,0.5,0.6,0.7083,0.6087,70.83,58.33,64.58,0,4.17,2.08,70.83,60.87,65.96,0,7.14,3.23
"9203",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,100,0,0,0,100,100,100,8.33,0,4.17
"9350",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,100,0,0,0,100,100,100,0,0,0
"9477",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,79.17,75,77.08,20.83,25,22.92,100,100,100,15.79,11.11,13.51
"9585",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,100,0,0,0,100,100,100,0,0,0
"9593",0.875,1,0.7143,1,1,1,0.8,1,0.8333,0.8333,1,1,1,1,0.8696,1,83.33,95.83,89.58,4.17,4.17,4.17,86.96,100,93.48,10,4.35,6.98
"9620",0.875,1,1,1,1,0.875,0.8333,1,1,1,1,1,1,0.8333,0.9583,0.9565,95.83,91.67,93.75,0,4.17,2.08,95.83,95.65,95.74,8.7,4.55,6.67
"9779",0.875,0.7143,1,0.8571,0.875,0.625,0.6667,1,0.8333,1,1,0.8333,0.8333,0.4,0.8696,0.7826,83.33,75,79.17,4.17,4.17,4.17,86.96,78.26,82.61,5,0,2.63
"9912",1,1,1,0.6,0.7143,0.2,1,1,1,1,0.5,0.6667,0.4,0.6,1,0.5294,100,37.5,68.75,0,29.17,14.58,100,52.94,80.49,8.33,44.44,18.18
